Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
abind	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4-5	NA	R (>= 1.5.0)	methods, utils	NA	NA	NA	LGPL (>= 2)	NA	NA	NA	NA	no	4.0.2
acepack	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.1	NA	NA	NA	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
ade4	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7-16	NA	R (>= 2.10)	"graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
progress"	NA	"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
annotate	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.66.0	NA	R (>= 2.10), AnnotationDbi (>= 1.27.5), XML	"Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl"	NA	"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
AnnotationDbi	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.52.0	NA	"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges"	DBI, RSQLite, S4Vectors (>= 0.9.25)	NA	"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
ape	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	5.4	NA	R (>= 3.2.0)	"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)"	Rcpp	gee, expm, igraph	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.2
askpass	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1	NA	NA	sys (>= 2.1)	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
assertthat	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.1	NA	NA	tools	NA	testthat, covr	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
backports	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.8	NA	R (>= 3.0.0)	utils	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.2
base64enc	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1-3	NA	R (>= 2.9.0)	NA	NA	NA	png	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.0
BBmisc	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.11	NA	NA	utils, methods, stats, checkmate (>= 1.8.0)	NA	testthat, microbenchmark, codetools	NA	BSD_2_clause + file LICENSE	NA	NA	NA	NA	yes	4.0.2
bezier	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.2	NA	NA	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
BH	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.75.0-0	NA	NA	NA	NA	NA	NA	BSL-1.0	NA	NA	NA	NA	no	4.0.4
Biobase	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.48.0	NA	R (>= 2.10), BiocGenerics (>= 0.27.1), utils	methods	NA	tools, tkWidgets, ALL, RUnit, golubEsets	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
BiocFileCache	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.14.0	NA	R (>= 3.4.0), dbplyr (>= 1.0.0)	"methods, stats, utils, dplyr, RSQLite, DBI, rappdirs, curl,
httr"	NA	testthat, knitr, BiocStyle, rmarkdown, rtracklayer	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
BiocGenerics	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.36.0	NA	R (>= 4.0.0), methods, utils, graphics, stats, parallel	methods, utils, graphics, stats, parallel	NA	"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
BiocManager	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.30.10	NA	NA	utils	NA	BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
