gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
HIST1H4C	pfc	ipc	gw16	0.94459	0	0.103	1.13464	0.868	0.765	0.8325
RBP1	pfc	ipc	gw16	0.6844	0	0.236	1.43704	0.776	0.54	0.47626
C4orf48	pfc	ipc	gw16	0.67757	0	0.201	1.36413	0.753	0.552	0.49671
STK17A	pfc	ipc	gw16	0.63952	0	0.199	1.60671	0.527	0.328	0.39803
CSRP2	pfc	ipc	gw16	0.53235	0	0.083	1.09811	0.929	0.846	0.48479
MT-CO2	pfc	ipc	gw16	0.49207	0	0.005	1.00503	1	0.995	0.48961
H2AFZ	pfc	ipc	gw16	0.48708	0	0.054	1.05882	0.972	0.918	0.46002
MT-ND3	pfc	ipc	gw16	0.48453	0	0.004	1.00405	0.992	0.988	0.48257
TXNDC17	pfc	ipc	gw16	0.45873	0	0.154	1.41848	0.522	0.368	0.3234
FOS	pfc	ipc	gw16	0.45186	0	0.177	1.28595	0.796	0.619	0.35138
HINT1	pfc	ipc	gw16	0.45102	0	0.023	1.02398	0.982	0.959	0.44046
COX5A	pfc	ipc	gw16	0.4451	0	0.125	1.20392	0.738	0.613	0.36971
TSPAN13	pfc	ipc	gw16	0.44362	0	0.14	1.29724	0.611	0.471	0.34197
GAPDH	pfc	ipc	gw16	0.44225	0	0.007	1.00707	0.997	0.99	0.43915
RPS4Y1	pfc	ipc	gw16	0.43976	0	0.049	1.05338	0.967	0.918	0.41747
H1FX	pfc	ipc	gw16	0.4371	0	0.113	1.13436	0.954	0.841	0.38532
NDUFB11	pfc	ipc	gw16	0.43079	0	0.038	1.04208	0.941	0.903	0.4134
ATP5F1	pfc	ipc	gw16	0.4294	0	0.144	1.26134	0.695	0.551	0.34043
ATP5G1	pfc	ipc	gw16	0.4217	0	0.132	1.26884	0.623	0.491	0.33235
MDH1	pfc	ipc	gw16	0.41482	0	0.122	1.23969	0.631	0.509	0.33462
MGST3	pfc	ipc	gw16	0.40957	0	0.096	1.11823	0.908	0.812	0.36626
MALAT1	pfc	ipc	gw16	0.40514	0	0	1	1	1	0.40514
ATP5C1	pfc	ipc	gw16	0.40005	0	0.093	1.11969	0.87	0.777	0.35728
FABP7	pfc	ipc	gw16	0.39752	0	0.012	1.01218	0.997	0.985	0.39273
NDUFC2	pfc	ipc	gw16	0.39402	0	0.117	1.16479	0.827	0.71	0.33828
SKP1	pfc	ipc	gw16	0.39392	0	0.03	1.03175	0.975	0.945	0.38179
ATP6V1G1	pfc	ipc	gw16	0.38931	0	0.041	1.04442	0.964	0.923	0.37275
COA3	pfc	ipc	gw16	0.38596	0	0.121	1.25527	0.595	0.474	0.30747
FTH1	pfc	ipc	gw16	0.38564	0	0	1	1	1	0.38564
ARL4D	pfc	ipc	gw16	0.38359	2e-5	0.123	1.24453	0.626	0.503	0.30822
RPL5	pfc	ipc	gw16	0.38068	0	0.001	1.001	1	0.999	0.38029
NDUFA12	pfc	ipc	gw16	0.37693	0	0.111	1.18942	0.697	0.586	0.3169
H3F3B	pfc	ipc	gw16	0.37225	0	0.002	1.002	1	0.998	0.37151
UBE2V2	pfc	ipc	gw16	0.3624	0	0.108	1.20263	0.641	0.533	0.30134
COX7A2	pfc	ipc	gw16	0.36174	0	0.039	1.04397	0.926	0.887	0.3465
ECH1	pfc	ipc	gw16	0.36066	0	0.126	1.30508	0.539	0.413	0.27635
SF3B6	pfc	ipc	gw16	0.36021	0	0.091	1.11757	0.865	0.774	0.32231
ATP5O	pfc	ipc	gw16	0.35871	0	0.04	1.04635	0.903	0.863	0.34282
CSNK2B	pfc	ipc	gw16	0.35597	0	0.141	1.28032	0.644	0.503	0.27804
RPS13	pfc	ipc	gw16	0.35305	0	0	1	1	1	0.35305
ERH	pfc	ipc	gw16	0.35126	0	0.053	1.0605	0.929	0.876	0.33122
HMGN3	pfc	ipc	gw16	0.34665	0	0.083	1.12425	0.751	0.668	0.30834
RPL6	pfc	ipc	gw16	0.34658	0	0	1	1	1	0.34658
GABARAPL2	pfc	ipc	gw16	0.3456	0	0.044	1.05046	0.916	0.872	0.329
ALKBH7	pfc	ipc	gw16	0.34513	0	0.104	1.19083	0.649	0.545	0.28982
DCTN3	pfc	ipc	gw16	0.34457	0	0.075	1.10108	0.817	0.742	0.31294
PRDX1	pfc	ipc	gw16	0.34123	0	-0.001	0.999	0.997	0.998	0.34157
SMS	pfc	ipc	gw16	0.3412	2e-5	0.114	1.20357	0.674	0.56	0.28349
ACTB	pfc	ipc	gw16	0.33694	0	0	1	1	1	0.33694
MT-CYB	pfc	ipc	gw16	0.33692	0	0.001	1.001	0.997	0.996	0.33658
SERF2	pfc	ipc	gw16	0.33219	0	0.053	1.05982	0.939	0.886	0.31344
SELK	pfc	ipc	gw16	0.33088	0	0.084	1.15642	0.621	0.537	0.28612
RPL11	pfc	ipc	gw16	0.33047	0	0	1	1	1	0.33047
RTN1	pfc	ipc	gw16	0.32918	0	0.052	1.05916	0.931	0.879	0.3108
SEC61B	pfc	ipc	gw16	0.32852	0	0.073	1.0972	0.824	0.751	0.29942
AP2S1	pfc	ipc	gw16	0.32753	0	0.098	1.17626	0.654	0.556	0.27845
STMN1	pfc	ipc	gw16	0.32636	0	0.001	1.001	1	0.999	0.32604
NUDT1	pfc	ipc	gw16	0.32571	0.003	0.112	1.2807	0.511	0.399	0.25432
NDUFB9	pfc	ipc	gw16	0.3251	0	0.121	1.21569	0.682	0.561	0.26742
PHPT1	pfc	ipc	gw16	0.32457	1e-5	0.121	1.22161	0.667	0.546	0.26569
RPL8	pfc	ipc	gw16	0.32433	0	-0.002	0.998	0.997	0.999	0.32498
HIGD2A	pfc	ipc	gw16	0.32092	1e-4	0.112	1.23431	0.59	0.478	0.26
SOD1	pfc	ipc	gw16	0.31977	0	0.058	1.07542	0.827	0.769	0.29734
HN1	pfc	ipc	gw16	0.31935	0	0.003	1.00302	0.997	0.994	0.31839
SRP14	pfc	ipc	gw16	0.31731	0	0.003	1.00302	0.997	0.994	0.31636
GPX4	pfc	ipc	gw16	0.31292	0	0.056	1.06897	0.868	0.812	0.29273
NDUFA4	pfc	ipc	gw16	0.31283	0	0.034	1.03716	0.949	0.915	0.30163
C14orf166	pfc	ipc	gw16	0.31136	0	0.104	1.14188	0.837	0.733	0.27267
TXN	pfc	ipc	gw16	0.31007	0	0.066	1.09257	0.779	0.713	0.2838
SPCS2	pfc	ipc	gw16	0.31002999999999997	0	0.089	1.13994	0.725	0.636	0.27197
FTL	pfc	ipc	gw16	0.30934	0	-0.004	0.996	0.995	0.999	0.31058
DDT	pfc	ipc	gw16	0.30547	1e-5	0.096	1.20042	0.575	0.479	0.25447
LSM7	pfc	ipc	gw16	0.30196	0	0.057	1.07116	0.858	0.801	0.2819
RPS26	pfc	ipc	gw16	0.3005	0	0.007	1.00719	0.98	0.973	0.29836
SUB1	pfc	ipc	gw16	0.29984	0	0.041	1.04729	0.908	0.867	0.2863
MT-ND2	pfc	ipc	gw16	0.29846	0	0.042	1.04492	0.977	0.935	0.28563
NGFRAP1	pfc	ipc	gw16	0.29609	0	0.029	1.03187	0.939	0.91	0.28695
ATP5G3	pfc	ipc	gw16	0.29186	0	0.065	1.08644	0.817	0.752	0.26864
SEC61G	pfc	ipc	gw16	0.29133	0	0.084	1.11699	0.802	0.718	0.26081
RBX1	pfc	ipc	gw16	0.29055	0	0.063	1.08214	0.83	0.767	0.2685
BTG3	pfc	ipc	gw16	0.29036	5e-5	0.078	1.15538	0.58	0.502	0.25132
SEPW1	pfc	ipc	gw16	0.28973	0	0.065	1.08312	0.847	0.782	0.26749
PEBP1	pfc	ipc	gw16	0.28653	0	0.025	1.02626	0.977	0.952	0.2792
FAU	pfc	ipc	gw16	0.28119	0	0	1	0.997	0.997	0.28119
MYL6	pfc	ipc	gw16	0.27826	0	0.007	1.00709	0.995	0.988	0.2763
NDUFB4	pfc	ipc	gw16	0.27804	0	0.047	1.05949	0.837	0.79	0.26243
PTN	pfc	ipc	gw16	0.27442	4.2e-4	0.026	1.03746	0.72	0.694	0.26451
TUBB2A	pfc	ipc	gw16	0.27374	0	0.057	1.06636	0.916	0.859	0.2567
VDAC2	pfc	ipc	gw16	0.2718	0	0.057	1.06859	0.888	0.831	0.25436
PSMA7	pfc	ipc	gw16	0.27173	0	0.067	1.08191	0.885	0.818	0.25115
RPL39	pfc	ipc	gw16	0.26911	0	0	1	1	1	0.26911
FABP5	pfc	ipc	gw16	0.26869	0.00542	0.03	1.03337	0.929	0.899	0.26001
RPS7	pfc	ipc	gw16	0.25665	0	-0.001	0.999	0.997	0.998	0.25691
C4orf48	pfc	ipc	gw18	95.53332	0	0.667	56.58333	0.679	0.012	1.68836
PCSK1N	pfc	ipc	gw18	42.86689	0	0.711	23.21875	0.743	0.032	1.84622
ATP5D	pfc	ipc	gw18	26.76856	0	0.522	19.64286	0.55	0.028	1.36276
CENPV	pfc	ipc	gw18	7.23837	0	0.452	6.1954	0.539	0.087	1.16834
HES6	pfc	ipc	gw18	4.67314	0	0.46	3.00873	0.689	0.229	1.55319
YBX1	pfc	ipc	gw18	4.04662	0	0.463	1.87358	0.993	0.53	2.15983
MARCKSL1	pfc	ipc	gw18	2.74266	0	0.342	1.52294	0.996	0.654	1.8009
RBP1	pfc	ipc	gw18	1.41481	0	0.279	2.21834	0.508	0.229	0.63778
BTG1	pfc	ipc	gw18	1.38033	0	0.278	1.9026	0.586	0.308	0.7255
TERF2IP	pfc	ipc	gw18	1.34025	0	0.259	1.61667	0.679	0.42	0.82902
GLTSCR2	pfc	ipc	gw18	1.27166	0	0.263	1.78979	0.596	0.333	0.71051
RERE	pfc	ipc	gw18	1.08337	0	0.206	1.59538	0.552	0.346	0.67907
GADD45GIP1	pfc	ipc	gw18	0.96879	0	0.229	1.77627	0.524	0.295	0.54541
RPL36A	pfc	ipc	gw18	0.94771	0	0.207	1.31603	0.862	0.655	0.72013
TUBB2A	pfc	ipc	gw18	0.89131	0	0.264	1.40244	0.92	0.656	0.63554
NDUFA13	pfc	ipc	gw18	0.77185	0	0.157	1.45376	0.503	0.346	0.53094
FTH1	pfc	ipc	gw18	0.76882	0	0.228	1.29572	0.999	0.771	0.59335
RTN1	pfc	ipc	gw18	0.75324	0	0.202	1.28857	0.902	0.7	0.58455
NTM	pfc	ipc	gw18	0.68091	0	0.122	1.19583	0.745	0.623	0.5694
LSM7	pfc	ipc	gw18	0.64145	0	0.169	1.41523	0.576	0.407	0.45325
